"","Treatment","Trial","Rep_per_trial","Date_before","Time_before","Date_after","Time_after","Trial_Temp","Tank","Kelp_ID","kelp color","Kelp_weight_before_g","length before cm","Kelp_weight_after_g","avg_pyc_position","avg_dist_from_pyc","pyc_pcnt_activity","pyc_avg_dist_moved","weight_diff","weight_pcnt_change","up_down","up_down_ratio","pos_weight_pcnt_change"
"1","Active","1","1","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,3,1,"Green",30.1553,25,29.0124,9.59375,4.484375,13.3333333333333,0.4,1.1429,3.79004685743468,"Up",3,3.79004685743468
"2","Active","1","1","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,3,2,"Green",33.317,25,30.7432,9.59375,4.484375,13.3333333333333,0.4,2.5738,7.725185340817,"Up",3,7.725185340817
"3","Active","1","1","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,3,3,"Green",29.017,25,26.6639,9.59375,4.484375,13.3333333333333,0.4,2.3531,8.10938415411654,"Up",3,8.10938415411654
"4","Active","1","1","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,3,4,"Green",27.1208,25,27.3368,9.59375,4.484375,13.3333333333333,0.4,-0.216000000000001,-0.796436683283683,"Up",3,1e-05
"5","Active","1","1","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,3,5,"Green",36.3071,25,36.3132,9.59375,4.484375,13.3333333333333,0.4,-0.00610000000000355,-0.0168011215437299,"Up",3,1e-05
"6","Active","1","1","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,3,6,"Green",23.1472,25,23.4637,9.59375,4.484375,13.3333333333333,0.4,-0.316499999999998,-1.3673360060828,"Up",3,1e-05
"7","Active","1","1","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,3,7,"Green",27.176,25,27.5655,9.59375,4.484375,13.3333333333333,0.4,-0.389500000000002,-1.43324992640566,"Up",3,1e-05
"8","Active","1","1","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,3,8,"Green",31.241,25,30.243,9.59375,4.484375,13.3333333333333,0.4,0.998000000000001,3.19452002176627,"Up",3,3.19452002176627
"9","Active","1","1","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,3,9,"Green",26.8362,25,23.8563,9.59375,4.484375,13.3333333333333,0.4,2.9799,11.104031122141,"Up",3,11.104031122141
"10","Active","1","1","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,3,10,"Green",32.027,25,30.6542,9.59375,4.484375,13.3333333333333,0.4,1.3728,4.2863833640366,"Down",3,4.2863833640366
"11","Active","1","1","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,3,11,"Green",21.0691,25,20.6666,9.59375,4.484375,13.3333333333333,0.4,0.4025,1.91038060477192,"Down",3,1.91038060477192
"12","Active","1","1","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,3,12,"Green",33.502,25,31.6504,9.59375,4.484375,13.3333333333333,0.4,1.8516,5.52683421885261,"Down",3,5.52683421885261
"13","Active","1","2","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,4,1,"Black",33.195,25,28.2138,3.29411764705882,4.5686274509804,18.75,0.5625,4.9812,15.0058743786715,"Up",0.333333333333333,15.0058743786715
"14","Active","1","2","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,4,2,"Black",37.304,25,36.2919,3.29411764705882,4.5686274509804,18.75,0.5625,1.0121,2.71311387518766,"Up",0.333333333333333,2.71311387518766
"15","Active","1","2","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,4,3,"Black",34.378,25,33.2793,3.29411764705882,4.5686274509804,18.75,0.5625,1.0987,3.19593926348246,"Up",0.333333333333333,3.19593926348246
"16","Active","1","2","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,4,4,"Black",27.853,25,25.5714,3.29411764705882,4.5686274509804,18.75,0.5625,2.2816,8.19157720891825,"Down",0.333333333333333,8.19157720891825
"17","Active","1","2","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,4,5,"Black",25.05,25,23.6965,3.29411764705882,4.5686274509804,18.75,0.5625,1.3535,5.40319361277445,"Down",0.333333333333333,5.40319361277445
"18","Active","1","2","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,4,6,"Black",30.79,25,28.1752,3.29411764705882,4.5686274509804,18.75,0.5625,2.6148,8.49236765183501,"Down",0.333333333333333,8.49236765183501
"19","Active","1","2","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,4,7,"Black",26.911,25,26.2274,3.29411764705882,4.5686274509804,18.75,0.5625,0.683600000000002,2.54022518672662,"Down",0.333333333333333,2.54022518672662
"20","Active","1","2","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,4,8,"Black",34.342,25,33.7382,3.29411764705882,4.5686274509804,18.75,0.5625,0.6038,1.75819695999068,"Down",0.333333333333333,1.75819695999068
"21","Active","1","2","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,4,9,"Black",33.5798,25,31.3653,3.29411764705882,4.5686274509804,18.75,0.5625,2.2145,6.59473850350508,"Down",0.333333333333333,6.59473850350508
"22","Active","1","2","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,4,10,"Black",29.92,25,29.3143,3.29411764705882,4.5686274509804,18.75,0.5625,0.605700000000002,2.02439839572193,"Down",0.333333333333333,2.02439839572193
"23","Active","1","2","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,4,11,"Black",33.027,25,30.1691,3.29411764705882,4.5686274509804,18.75,0.5625,2.8579,8.65322312047719,"Down",0.333333333333333,8.65322312047719
"24","Active","1","2","7/6/23",16:40:00,"7/9/23",19:00:00,8.1,4,12,"Black",28.0742,25,27.9679,3.29411764705882,4.5686274509804,18.75,0.5625,0.106300000000001,0.378639462567058,"Down",0.333333333333333,0.378639462567058
"25","Active","3","1","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,1,1,"Red",25.0091,20,22.7972,10.9230769230769,5.14102564102564,8.33333333333333,0.583333333333333,2.2119,8.84438064544506,"Up",5,8.84438064544506
"26","Active","3","1","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,1,2,"Red",21.4214,20,21.9351,10.9230769230769,5.14102564102564,8.33333333333333,0.583333333333333,-0.5137,-2.39806922049913,"Up",5,1e-05
"27","Active","3","1","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,1,3,"Red",24.4553,20,24.4172,10.9230769230769,5.14102564102564,8.33333333333333,0.583333333333333,0.0381,0.155794449464942,"Up",5,0.155794449464942
"28","Active","3","1","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,1,4,"Red",23.9965,20,23.5604,10.9230769230769,5.14102564102564,8.33333333333333,0.583333333333333,0.4361,1.81734836330298,"Up",5,1.81734836330298
"29","Active","3","1","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,1,5,"Red",24.2691,20,24.1841,10.9230769230769,5.14102564102564,8.33333333333333,0.583333333333333,0.0850000000000009,0.350239605094548,"Up",5,0.350239605094548
"30","Active","3","1","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,1,6,"Red",21.1747,20,21.0462,10.9230769230769,5.14102564102564,8.33333333333333,0.583333333333333,0.128500000000003,0.606856295484718,"Up",5,0.606856295484718
"31","Active","3","1","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,1,7,"Red",21.0855,20,18.6883,10.9230769230769,5.14102564102564,8.33333333333333,0.583333333333333,2.3972,11.3689502264589,"Up",5,11.3689502264589
"32","Active","3","1","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,1,8,"Red",20.4671,20,19.6454,10.9230769230769,5.14102564102564,8.33333333333333,0.583333333333333,0.8217,4.01473584435509,"Up",5,4.01473584435509
"33","Active","3","1","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,1,9,"Red",28.5679,20,28.2645,10.9230769230769,5.14102564102564,8.33333333333333,0.583333333333333,0.3034,1.06203116084836,"Up",5,1.06203116084836
"34","Active","3","1","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,1,10,"Red",27.3169,20,27.4073,10.9230769230769,5.14102564102564,8.33333333333333,0.583333333333333,-0.0903999999999989,-0.330930669292632,"Up",5,1e-05
"35","Active","3","1","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,1,11,"Red",25.0397,20,25.3876,10.9230769230769,5.14102564102564,8.33333333333333,0.583333333333333,-0.347899999999999,-1.38939364289508,"Down",5,1e-05
"36","Active","3","1","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,1,12,"Red",25.8127,20,20.7536,10.9230769230769,5.14102564102564,8.33333333333333,0.583333333333333,5.0591,19.599267027471,"Down",5,19.599267027471
"37","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,1,"Green",37.8773,20,34.6575,11.5384615384615,5.30769230769231,8.33333333333333,0.5,3.2198,8.5006059037999,"Up",11,8.5006059037999
"38","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,2,"Green",38.2048,20,38.2191,11.5384615384615,5.30769230769231,8.33333333333333,0.5,-0.0142999999999986,-0.0374298517463739,"Up",11,1e-05
"39","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,3,"Green",31.1125,20,30.7217,11.5384615384615,5.30769230769231,8.33333333333333,0.5,0.390800000000002,1.2560867818401,"Up",11,1.2560867818401
"40","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,4,"Green",30.6621,20,30.5226,11.5384615384615,5.30769230769231,8.33333333333333,0.5,0.139499999999998,0.454959053685162,"Up",11,0.454959053685162
"41","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,5,"Green",32.2208,20,31.5667,11.5384615384615,5.30769230769231,8.33333333333333,0.5,0.654099999999996,2.03005511967424,"Up",11,2.03005511967424
"42","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,6,"Green",34.8155,20,34.8077,11.5384615384615,5.30769230769231,8.33333333333333,0.5,0.00780000000000314,0.0224038143930236,"Up",11,0.0224038143930236
"43","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,7,"Green",28.6735,20,28.0075,11.5384615384615,5.30769230769231,8.33333333333333,0.5,0.666,2.32270214658134,"Up",11,2.32270214658134
"44","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,8,"Green",28.3357,20,27.5072,11.5384615384615,5.30769230769231,8.33333333333333,0.5,0.828499999999998,2.92387341763217,"Up",11,2.92387341763217
"45","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,9,"Green",31.3798,20,24.1715,11.5384615384615,5.30769230769231,8.33333333333333,0.5,7.2083,22.9711470436395,"Up",11,22.9711470436395
"46","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,10,"Green",20.4313,20,19.8302,11.5384615384615,5.30769230769231,8.33333333333333,0.5,0.601099999999999,2.94205459270824,"Up",11,2.94205459270824
"47","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,11,"Green",18.7075,20,17.1827,11.5384615384615,5.30769230769231,8.33333333333333,0.5,1.5248,8.15074168114392,"Up",11,8.15074168114392
"48","Active","3","2","7/14/23",16:00:00,"7/17/23",18:15:00,8.5,3,12,"Green",18.8145,20,14.3372,11.5384615384615,5.30769230769231,8.33333333333333,0.5,4.4773,23.7970714076909,"Down",11,23.7970714076909
"49","Active","4","1","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,3,1,"Green",33.1517,20,31.7275,11.3076923076923,5.2051282051282,25,0.916666666666667,1.4242,4.29600895278372,"Up",11,4.29600895278372
"50","Active","4","1","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,3,2,"Green",33.2245,20,33.3732,11.3076923076923,5.2051282051282,25,0.916666666666667,-0.148699999999998,-0.447561287604021,"Up",11,1e-05
"51","Active","4","1","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,3,3,"Green",35.3252,20,36.0712,11.3076923076923,5.2051282051282,25,0.916666666666667,-0.745999999999995,-2.11180686875091,"Up",11,1e-05
"52","Active","4","1","7/18/23",16:00:00,"7/21/23",18:00:00,11.2,3,4,"Green",32.9894,20,27.4117,11.3076923076923,5.2051282051282,25,0.916666666666667,5.5777,16.9075521228031,"Up",11,16.9075521228031
