DateTime,TrialStartTime,TimeSinceStart,Date,Day_numrecord,Time,Trial,Treatment,Cline,Cline_seg,Urch_STILL,Urch_MOVING,Urch_WALL,urch_GRAZE,urch_TOUCHKELP,urch_CREVICE,TOTAL_clinesegURCH,Pyc_position,Pyc_moving,Pyc_touching_urch,Pyc_eating_urch,Notes
7/07/2023 09:33:00,7/07/2023 09:25:00,0:08:00,7/7/23,1_1,9:33,1,Control,1,R,1,0,0,0,0,0,1,0,0,0,0,
7/07/2023 09:33:00,7/07/2023 09:25:00,0:08:00,7/7/23,1_1,9:33,1,Control,2,L,4,1,0,0,0,0,5,0,0,0,0,
7/07/2023 09:33:00,7/07/2023 09:25:00,0:08:00,7/7/23,1_1,9:33,1,Control,2,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 09:33:00,7/07/2023 09:25:00,0:08:00,7/7/23,1_1,9:33,1,Control,3,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 09:33:00,7/07/2023 09:25:00,0:08:00,7/7/23,1_1,9:33,1,Control,3,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 09:33:00,7/07/2023 09:25:00,0:08:00,7/7/23,1_1,9:33,1,Control,4,L,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 09:33:00,7/07/2023 09:25:00,0:08:00,7/7/23,1_1,9:33,1,Control,4,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 09:33:00,7/07/2023 09:25:00,0:08:00,7/7/23,1_1,9:33,1,Control,5,L,0,1,1,0,0,0,1,0,0,0,0,
7/07/2023 09:33:00,7/07/2023 09:25:00,0:08:00,7/7/23,1_1,9:33,1,Control,5,R,1,0,0,0,0,1,1,0,0,0,0,
7/07/2023 09:33:00,7/07/2023 09:25:00,0:08:00,7/7/23,1_1,9:33,1,Control,6,L,1,0,1,0,0,0,1,0,0,0,0,
7/07/2023 09:33:00,7/07/2023 09:25:00,0:08:00,7/7/23,1_1,9:33,1,Control,6,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 09:33:00,7/07/2023 09:25:00,0:08:00,7/7/23,1_1,9:33,1,Control,7,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 09:33:00,7/07/2023 09:25:00,0:08:00,7/7/23,1_1,9:33,1,Control,7,L,1,0,0,0,0,0,1,0,0,0,0,
7/07/2023 09:33:00,7/07/2023 09:25:00,0:08:00,7/7/23,1_1,9:33,1,Control,8,L,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 09:33:00,7/07/2023 09:25:00,0:08:00,7/7/23,1_1,9:33,1,Control,8,R,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 09:33:00,7/07/2023 09:25:00,0:08:00,7/7/23,1_1,9:33,1,Control,9,L,1,1,0,0,1,0,2,0,0,0,0,
