Date,Day_numrecord,Time,Trial,Treatment,Cline,Cline_seg,Urch_STILL,Urch_MOVING,Urch_WALL,urch_GRAZE,urch_TOUCHKELP,urch_CREVICE,TOTAL_clinesegURCH,Pyc_position,Pyc_moving,Pyc_touching_urch,Pyc_eating_urch,Notes
7/1/23,1_1,16:40,Pilot,Caged_red,1,L ,0,3,0,0,0,0,3,0,0,0,0,
7/1/23,1_1,16:40,Pilot,Caged_red,1,R,0,1,0,0,0,0,1,0,0,0,0,away from pyc
7/1/23,1_1,16:40,Pilot,Caged_red,2,L,0,1,0,0,0,0,1,0,0,0,0,
7/1/23,1_1,16:40,Pilot,Caged_red,2,R,0,0,0,0,0,0,0,0,0,0,0,
7/1/23,1_1,16:40,Pilot,Caged_red,3,L,3,0,0,1,0,0,3,0,0,0,0,
7/1/23,1_1,16:40,Pilot,Caged_red,3,R,0,0,0,0,0,0,0,0,0,0,0,
7/1/23,1_1,16:40,Pilot,Caged_red,4,R,1,1,0,1,0,0,2,0,0,0,0,towards pyc also towards kelp
7/1/23,1_1,16:40,Pilot,Caged_red,6,L,0,1,0,0,0,0,1,0,0,0,0,
7/1/23,1_1,16:40,Pilot,Caged_red,6,R,3,0,0,1,0,0,3,0,0,0,0,So close to pyc 
7/1/23,1_1,16:40,Pilot,Caged_red,7,L,1,0,1,0,0,0,1,0,0,0,0,
7/1/23,1_1,16:40,Pilot,Caged_red,7,L,1,0,0,0,1,0,1,0,0,0,0,
7/1/23,1_1,16:40,Pilot,Caged_red,8,R,0,1,0,0,0,0,1,0,0,0,0,
7/1/23,1_1,16:40,Pilot,Caged_red,9,R,2,0,0,0,0,0,2,0,0,0,0,
7/1/23,1_1,16:40,Pilot,Caged_red,10,L,3,0,0,0,0,0,3,0,0,0,0,
7/1/23,1_1,16:40,Pilot,Caged_red,11,R,0,0,0,0,0,0,0,0,0,0,0,
7/1/23,1_1,16:40,Pilot,Caged_red,12,L,1,0,0,0,0,0,1,0,0,0,0,
7/1/23,1_1,16:40,Pilot,Caged_red,12,R,1,0,0,0,0,0,1,0,0,0,0,
,,,,,,,,,,,,,24,,,,,
7/2/23,2_1,9:30,Pilot,Caged_red,1,L,2,0,0,1,1,0,2,0,0,0,0,
7/2/23,2_1,9:30,Pilot,Caged_red,1,R,1,0,0,0,1,0,1,0,0,0,0,
7/2/23,2_1,9:30,Pilot,Caged_red,2,L,1,0,0,1,0,0,1,0,0,0,0,
7/2/23,2_1,9:30,Pilot,Caged_red,3,L,1,0,0,1,0,0,1,0,0,0,0,
7/2/23,2_1,9:30,Pilot,Caged_red,3,R,1,0,0,1,0,0,1,0,0,0,0,
7/2/23,2_1,9:30,Pilot,Caged_red,4,L,1,0,0,0,0,0,1,0,0,0,0,
7/2/23,2_1,9:30,Pilot,Caged_red,5,R,6,0,0,4,0,0,6,0,0,0,0,
7/2/23,2_1,9:30,Pilot,Caged_red,6,L,1,0,0,0,0,0,1,0,0,0,0,
7/2/23,2_1,9:30,Pilot,Caged_red,6,R,1,0,0,1,0,0,1,0,0,0,0,
7/2/23,2_1,9:30,Pilot,Caged_red,7,R,1,0,0,0,0,1,1,0,0,0,0,
7/2/23,2_1,9:30,Pilot,Caged_red,9,L,4,0,0,2,0,2,4,0,0,0,0,
7/2/23,2_1,9:30,Pilot,Caged_red,10,R,2,0,0,2,0,0,0,0,0,0,0,
7/2/23,2_1,9:30,Pilot,Caged_red,11,L,1,0,1,1,0,0,1,0,0,0,0,
7/2/23,2_1,9:30,Pilot,Caged_red,12,L,1,0,0,0,0,0,1,0,0,0,0,
,,,,,,,,,,,,,22,,,,,
7/2/23,2_2,11:10,Pilot,Caged_red,1,L,1,0,1,1,0,0,1,0,0,0,0,
7/2/23,2_2,11:10,Pilot,Caged_red,1,R,1,0,0,1,0,0,1,0,0,0,0,
7/2/23,2_2,11:10,Pilot,Caged_red,2,R,2,0,0,2,0,0,2,0,0,0,0,
7/2/23,2_2,11:10,Pilot,Caged_red,3,L,1,0,0,1,0,0,1,0,0,0,0,
7/2/23,2_2,11:10,Pilot,Caged_red,4,R,2,0,0,0,0,0,2,0,0,0,0,
7/2/23,2_2,11:10,Pilot,Caged_red,5,R,6,0,0,4,0,0,6,0,0,0,0,
