Trial,Trial Start Date,Date Collected,Starvation period,Site collected from,Urchin_serial_num,Tank,Size_cm,Notes,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,3,1,51,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,20,1,50,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,24,1,47,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,13,1,45,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,21,1,45,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,1,1,44,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,8,1,44,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,10,1,44,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,19,1,43,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,6,1,42,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,7,1,41,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,22,1,41,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,4,1,39,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,12,1,39,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,23,1,37,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,5,1,36,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,9,1,36,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,11,1,35,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,14,1,35,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,17,1,34,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,18,1,33,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,2,1,32,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,15,1,31,,,,,
Pilot,7/1/23,6/30/23,1,Ellsworth Cut,16,1,30,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,15,2,6.3,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,7,4,6.1,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,23,2,6,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,24,2,6,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,5,2,5.8,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,16,2,5.8,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,20,1,5.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,14,3,5.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,19,3,5.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,20,3,5.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,10,4,5.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,6,1,5.2,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,18,1,5.2,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,24,1,5.2,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,10,2,5.2,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,22,2,5.2,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,12,3,5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,15,4,5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,13,4,4.9,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,9,1,4.8,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,13,1,4.8,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,14,1,4.8,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,4,4,4.8,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,10,1,4.6,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,12,1,4.6,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,22,1,4.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,5,3,4.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,10,3,4.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,11,3,4.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,24,3,4.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,11,4,4.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,24,4,4.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,23,1,4.4,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,7,2,4.4,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,9,2,4.4,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,21,2,4.4,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,23,4,4.4,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,4,2,4.3,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,12,2,4.3,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,8,3,4.3,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,18,3,4.3,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,2,1,4.2,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,8,1,4.2,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,15,1,4.2,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,8,2,4.1,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,1,4,4.1,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,9,4,4.1,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,5,1,4,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,7,1,4,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,11,1,4,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,11,2,4,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,13,2,4,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,14,2,4,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,4,3,4,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,6,3,4,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,22,3,4,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,3,4,3.9,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,16,4,3.9,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,21,4,3.9,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,1,1,3.8,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,17,3,3.8,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,2,4,3.8,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,18,4,3.8,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,19,4,3.7,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,20,4,3.7,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,17,1,3.6,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,21,1,3.6,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,6,4,3.6,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,3,1,3.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,2,2,3.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,17,2,3.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,18,2,3.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,20,2,3.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,2,3,3.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,7,3,3.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,16,3,3.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,21,3,3.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,23,3,3.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,8,4,3.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,12,4,3.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,17,4,3.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,13,3,3.4,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,14,4,3.4,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,1,2,3.3,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,5,4,3.3,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,4,1,3.2,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,19,1,3.2,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,6,2,3,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,3,3,3,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,16,1,2.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,19,2,2.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,1,3,2.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,9,3,2.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,15,3,2.5,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,3,2,2.2,,,,,
10,8/18/23,8/14/23,4,Ellsworth Cut,22,4,2,,,,,
9,8/14/23,8/10/23,4,Ellsworth Cut,2,2,6.5,,,,,
9,8/14/23,8/10/23,4,Ellsworth Cut,7,1,6,,,,,
9,8/14/23,8/10/23,4,Ellsworth Cut,8,1,6,,,,,
9,8/14/23,8/10/23,4,Ellsworth Cut,15,1,6,,,,,
9,8/14/23,8/10/23,4,Ellsworth Cut,24,1,6,,,,,
9,8/14/23,8/10/23,4,Ellsworth Cut,1,2,6,,,,,
9,8/14/23,8/10/23,4,Ellsworth Cut,22,4,6,,,,,
9,8/14/23,8/10/23,4,Ellsworth Cut,1,1,5.5,,,,,
